name,type,county_borough,state_full,state_abbr,lat,lon,search_query
Atherton,suburb,San Mateo,California,CA,37.4613,-122.1977,"Atherton, California"
Menlo Park,suburb,San Mateo,California,CA,37.4529,-122.1817,"Menlo Park, California"
East Palo Alto,suburb,San Mateo,California,CA,37.4688,-122.1411,"East Palo Alto, California"
Half Moon Bay,suburb,San Mateo,California,CA,37.4635,-122.4286,"Half Moon Bay, California"
Woodside,suburb,San Mateo,California,CA,37.4293,-122.2539,"Woodside, California"
Portola Valley,suburb,San Mateo,California,CA,37.3869,-122.2280,"Portola Valley, California"
Palo Alto,suburb,Santa Clara,California,CA,37.4419,-122.1430,"Palo Alto, California"
Los Altos,suburb,Santa Clara,California,CA,37.3852,-122.1141,"Los Altos, California"
Los Altos Hills,suburb,Santa Clara,California,CA,37.3788,-122.1417,"Los Altos Hills, California"
Mountain View,suburb,Santa Clara,California,CA,37.3861,-122.0839,"Mountain View, California"
Sunnyvale,suburb,Santa Clara,California,CA,37.3688,-122.0363,"Sunnyvale, California"
Cupertino,suburb,Santa Clara,California,CA,37.3229,-122.0322,"Cupertino, California"
Santa Clara,suburb,Santa Clara,California,CA,37.3541,-121.9552,"Santa Clara, California"
Campbell,suburb,Santa Clara,California,CA,37.2872,-121.9500,"Campbell, California"
Los Gatos,suburb,Santa Clara,California,CA,37.2358,-121.9669,"Los Gatos, California"
Saratoga,suburb,Santa Clara,California,CA,37.2638,-122.0230,"Saratoga, California"
Milpitas,suburb,Santa Clara,California,CA,37.4323,-121.8996,"Milpitas, California"
Willow Glen,neighborhood,Santa Clara,California,CA,37.3097,-121.8950,"Willow Glen, San Jose, California"
Almaden Valley,neighborhood,Santa Clara,California,CA,37.2508,-121.8740,"Almaden Valley, San Jose, California"
Rose Garden,neighborhood,Santa Clara,California,CA,37.3302,-121.9236,"Rose Garden, San Jose, California"
Evergreen,neighborhood,Santa Clara,California,CA,37.2800,-121.7800,"Evergreen, San Jose, California"
Emeryville,suburb,Alameda,California,CA,37.8310,-122.2905,"Emeryville, California"
Albany,suburb,Alameda,California,CA,37.8869,-122.2977,"Albany, California"
North Berkeley,neighborhood,Alameda,California,CA,37.8780,-122.2716,"North Berkeley, Berkeley, California"
Elmwood,neighborhood,Alameda,California,CA,37.8571,-122.2493,"Elmwood, Berkeley, California"
Rockridge,neighborhood,Alameda,California,CA,37.8419,-122.2500,"Rockridge, Oakland, California"
Temescal,neighborhood,Alameda,California,CA,37.8322,-122.2647,"Temescal, Oakland, California"
Grand Lake,neighborhood,Alameda,California,CA,37.8161,-122.2453,"Grand Lake, Oakland, California"
Montclair,neighborhood,Alameda,California,CA,37.8264,-122.2014,"Montclair, Oakland, California"
Jack London Square,neighborhood,Alameda,California,CA,37.7935,-122.2755,"Jack London Square, Oakland, California"
Fruitvale,neighborhood,Alameda,California,CA,37.7749,-122.2244,"Fruitvale, Oakland, California"
Glenview,neighborhood,Alameda,California,CA,37.7994,-122.2217,"Glenview, Oakland, California"
Piedmont,suburb,Alameda,California,CA,37.8239,-122.2303,"Piedmont, California"
Alameda,suburb,Alameda,California,CA,37.7652,-122.2416,"Alameda, California"
San Leandro,suburb,Alameda,California,CA,37.7249,-122.1561,"San Leandro, California"
Castro Valley,suburb,Alameda,California,CA,37.6941,-122.0858,"Castro Valley, California"
Hayward,suburb,Alameda,California,CA,37.6688,-122.0808,"Hayward, California"
Fremont,suburb,Alameda,California,CA,37.5485,-121.9886,"Fremont, California"
Union City,suburb,Alameda,California,CA,37.5934,-122.0438,"Union City, California"
Newark,suburb,Alameda,California,CA,37.5296,-122.0402,"Newark, California"
Pleasanton,suburb,Alameda,California,CA,37.6624,-121.8747,"Pleasanton, California"
Livermore,suburb,Alameda,California,CA,37.6819,-121.7680,"Livermore, California"
Dublin,suburb,Alameda,California,CA,37.7022,-121.9358,"Dublin, California"
El Cerrito,suburb,Contra Costa,California,CA,37.9241,-122.3177,"El Cerrito, California"
Richmond,suburb,Contra Costa,California,CA,37.9358,-122.3477,"Richmond, California"
Kensington,suburb,Contra Costa,California,CA,37.9072,-122.2693,"Kensington, California"
Orinda,suburb,Contra Costa,California,CA,37.8771,-122.1797,"Orinda, California"
Moraga,suburb,Contra Costa,California,CA,37.8383,-122.1302,"Moraga, California"
Lafayette,suburb,Contra Costa,California,CA,37.8858,-122.1180,"Lafayette, California"
Walnut Creek,suburb,Contra Costa,California,CA,37.9041,-122.0652,"Walnut Creek, California"
Alamo,suburb,Contra Costa,California,CA,37.8510,-122.0325,"Alamo, California"
Danville,suburb,Contra Costa,California,CA,37.8216,-121.9997,"Danville, California"
San Ramon,suburb,Contra Costa,California,CA,37.7799,-121.9780,"San Ramon, California"
Pleasant Hill,suburb,Contra Costa,California,CA,37.9476,-122.0608,"Pleasant Hill, California"
Concord,suburb,Contra Costa,California,CA,37.9779,-122.0311,"Concord, California"
Martinez,suburb,Contra Costa,California,CA,38.0194,-122.1341,"Martinez, California"
Sausalito,suburb,Marin,California,CA,37.8591,-122.4853,"Sausalito, California"
Tiburon,suburb,Marin,California,CA,37.8914,-122.4569,"Tiburon, California"
Belvedere,suburb,Marin,California,CA,37.8694,-122.4578,"Belvedere, California"
Mill Valley,suburb,Marin,California,CA,37.9060,-122.5451,"Mill Valley, California"
Corte Madera,suburb,Marin,California,CA,37.9252,-122.5247,"Corte Madera, California"
Larkspur,suburb,Marin,California,CA,37.9330,-122.5344,"Larkspur, California"
San Anselmo,suburb,Marin,California,CA,37.9752,-122.5614,"San Anselmo, California"
Fairfax,suburb,Marin,California,CA,37.9863,-122.5888,"Fairfax, California"
San Rafael,suburb,Marin,California,CA,37.9735,-122.5311,"San Rafael, California"
Novato,suburb,Marin,California,CA,38.1074,-122.5697,"Novato, California"
Ross,suburb,Marin,California,CA,37.9616,-122.5558,"Ross, California"
Kentfield,suburb,Marin,California,CA,37.9505,-122.5564,"Kentfield, California"
